OBJECTID,STATION_ID,STN_NUMBER,COUNTY,LOCATION,RTE_NUMBER,AADT_2018,AADT_2017,AADT_2016,AADT_2015,AADT_2014,AADT_2013,AADT_2012,AADT_2011,AADT_2010,AADT_2009,AADT_2008,AADT_2007,AADT_2006,AADT_2005,AADT_2004,AADT_2003,AADT_2002,AADT_2001,AADT_2000,AADT_1999,AADT_1998,AADT_1997,AADT_1996,AADT_1995,AADT_1994,AADT_1993,AADT_1992,AADT_1991,AADT_1990,AADT_1989,AADT_1988,AADT_1987,AADT_1986,AADT_1985,AADT_1984,AADT_1983
11368,031000201,000201,Coffee,MANCHESTER,04269,5605,5484,5163,5105,4849,4750,5092,4819,4762,4873,4645,4776,4674,4687,4729,4586,4051,3936,3493,,,,,,,,,,,,,,,,,
11376,031000202,000202,Coffee,DOG ST - MANCHESTER,03419,211,214,182,226,279,163,144,162,176,193,203,197,237,189,221,174,282,219,304,,,,,,,,,,,,,,,,,
11468,031000203,000203,Coffee,MANCHESTER,04661,269,275,254,265,243,257,250,270,227,258,369,331,303,288,297,302,301,195,288,,,,,,,,,,,,,,,,,
11475,031000204,000204,Coffee,JACKSON ST. - MANCHESTER,0A785,570,650,642,659,648,642,680,755,738,760,833,770,724,765,1212,1187,808,935,759,,,,,,,,,,,,,,,,,
11822,031000205,000205,Coffee,MANCHESTER,01111,3136,3848,3163,3129,3064,3222,3193,2920,3299,2960,3054,3071,3220,3563,2544,2691,3228,3088,3163,,,,,,,,,,,,,,,,,
11830,031000206,000206,Coffee,MANCHESTER,04704,1472,1406,1467,1449,1407,1572,1213,1399,1331,1360,1710,1753,1587,1433,2638,2609,1543,1415,1484,,,,,,,,,,,,,,,,,
10956,031000208,000208,Coffee,S. RAMSEY ST. - MANCHESTER,0A771,526,940,931,883,865,865,651,591,559,585,645,620,657,650,697,705,888,552,631,,,,,,,,,,,,,,,,,
11049,031000209,000209,Coffee,MANCHESTER,03409,6718,6453,5605,5554,5286,5234,5409,5112,5576,5467,5081,5168,5396,5077,5338,5312,4437,4489,4051,,,,,,,,,,,,,,,,,
8384,031000210,000210,Coffee,N.E. OF MANCHESTER,SR055,11172,11854,12696,10794,10854,12479,10581,10948,11000,11428,10283,11484,11025,11156,12455,10462,11119,10936,,,,,,,,,,,,,,,,,,
10058,031000216,000216,Coffee,FORT ST - MANCHESTER,03412,1127,1754,1727,1683,1678,1629,1439,1397,1316,1972,1360,1321,1834,1852,1854,1321,2327,1296,,,,,,,,,,,,,,,,,,
10151,031000217,000217,Coffee,MAIN ST - MANCHESTER,03413,695,838,988,1004,975,961,916,981,952,821,989,1350,1311,1366,1273,1236,1236,2110,,,,,,,,,,,,,,,,,,
10495,031000218,000218,Coffee,SPRING ST - MANCHESTER,03421,1287,1794,1718,1763,1712,1610,1811,1731,1681,1621,1588,1355,1496,1606,1935,1795,2128,2798,,,,,,,,,,,,,,,,,,
10500,031000219,000219,Coffee,SPRING ST - MANCHESTER,03416,4857,4561,4778,4747,4363,4432,5593,4245,5020,4766,4042,4224,4535,4809,3973,4012,4292,4401,,,,,,,,,,,,,,,,,,
10505,031000220,000220,Coffee,MANCHESTER,03409,2311,2290,2317,2294,2417,2225,2062,2046,2293,2195,2079,2131,2199,2208,2083,1949,1907,2385,,,,,,,,,,,,,,,,,,
10511,031000221,000221,Coffee,OAKDALE - MANCHESTER,03416,224,223,208,215,209,100,150,264,284,330,284,285,277,240,233,227,227,255,,,,,,,,,,,,,,,,,,
12894,031000223,000223,Coffee,EXPRESSWAY DR-MANCHESTER,05528,863,878,918,948,920,911,896,862,959,948,920,,,,,,,,,,,,,,,,,,,,,,,,,
8858,031000990,000990,Coffee,S OF MANCHESTER (ATR 35),I0024,42018,41397,37967,37815,37724,37350,36278,35237,35077,37726,34208,38224,36129,36181,33535,33343,33047,32106,30357,30816,30827,28469,27051,28000,27700,27605,24106,22280,25385,22554,22576,21420,21300,19990,,
