ID,Name,Host ID,Host Name,Host Since,Host Location,Host Response Time,Host Response Rate,Host Acceptance Rate,Host Is Superhost,Host Listings Count,Host Has Profile Pic,Host Identity Verified,City,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Number Of Reviews,First Review,Last Review,Instant Bookable,Cancellation Policy,Reviews Per Month,City Bins,superhost_Yes,verified_Yes,property_Apartment,property_Bed & Breakfast,property_Boat,property_Condominium,property_House,property_Loft,property_Townhouse,property_Villa,room_Entire home/apt,room_Private room,room_Shared room,bed_Airbed,bed_Couch,bed_Futon,bed_Pull-out Sofa,bed_Real Bed,instabook_Yes,cancel_flexible,cancel_moderate,cancel_strict,cancel_super_strict_30,citybins_Boston,citybins_Brookline,citybins_Cambridge,citybins_Charlestown,citybins_Jamaica Plain,citybins_Other,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Guests Not Included,Guests per Bed,Accommodates per Bathroom
12914154,BOSTON COMMON,41538684,J.,8/14/2018,"Boston, Massachusetts, United States",within a few hours,0.98,0.65,No,3,Yes,Yes,Boston,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,120.0,0.0,40.0,1,0,3,5,6/6/2019,8/28/2019,No,strict,1.6,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,10.0,10.0,10.0,10.0,9.999999999999998,10.0,8.875,2,0.5,3.0
10253591,"Quiet, Private Room with Comfy Bed",32071442,Sarah,4/26/2018,"Boston, Massachusetts, United States",within a few hours,0.92,0.94,No,1,Yes,Yes,Boston,House,Private room,2,1.0,1.0,1.0,Real Bed,105.0,200.0,7.0,1,10,2,21,3/10/2019,8/17/2019,No,strict,3.46,Boston,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,8.9875,8.875,10.0,10.0,9.999999999999998,8.875,8.875,1,1.0,2.0
5153080,"Cozy, colorful & private on a park",2594165,Danielle,6/10/2015,"Boston, Massachusetts, United States",within a few hours,1.0,0.86,Yes,1,Yes,Yes,Boston,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,139.0,0.0,55.0,1,0,1,49,2/8/2018,8/26/2019,No,flexible,2.55,Boston,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10.0,10.0,10.0,10.0,9.999999999999998,10.0,10.0,1,1.0,2.0
11649321,Boston Harbor View 1 BR Furnished Suite,47664830,Pelican Executive Suites,10/27/2018,"Santa Monica, California, United States",within an hour,1.0,0.67,No,7,Yes,Yes,Boston,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,250.0,250.0,95.0,1,0,1,2,4/21/2019,8/6/2019,No,strict,0.43,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,10.0,10.0,10.0,10.0,9.999999999999998,10.0,10.0,3,0.5,4.0
7553969,Sunny studio in a great location.,23531248,Andrea,11/8/2017,"Boston, Massachusetts, United States",within a few hours,1.0,0.58,No,1,Yes,Yes,Boston,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,140.0,1000.0,50.0,1,0,2,5,8/17/2018,9/6/2019,No,strict,0.39,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,9.55,10.0,10.0,10.0,9.999999999999998,10.0,8.875,1,1.0,2.0
6310903,Charming Victorian Home,32783797,James,5/5/2018,"Boston, Massachusetts, United States",within an hour,1.0,0.75,Yes,1,Yes,Yes,Boston,House,Entire home/apt,6,2.5,4.0,4.0,Real Bed,350.0,200.0,125.0,6,50,2,39,5/19/2018,9/2/2019,No,strict,2.45,Boston,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,9.6625,10.0,10.0,10.0,9.999999999999998,8.875,10.0,0,1.5,2.4
13079659,Chic 2BR Near Boston Common,12243051,Flatbook,2/13/2017,"Montreal, Quebec, Canada",within a few hours,0.71,0.98,No,363,Yes,Yes,Boston,Loft,Entire home/apt,4,1.0,2.0,2.0,Real Bed,259.0,400.0,95.0,2,10,3,3,6/8/2019,8/28/2019,Yes,strict,0.98,Boston,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,9.2125,10.0,10.0,10.0,9.999999999999998,8.875,8.875,2,1.0,4.0
12750816,new two bed room Apartment the end day i,66050182,Lisa,4/6/2019,US,within a few hours,0.94,0.91,No,5,Yes,No,Boston,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,150.0,0.0,50.0,1,0,1,10,5/23/2019,7/31/2019,Yes,flexible,2.78,Boston,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,7.075,7.75,7.75,7.75,7.0,8.875,7.75,3,0.5,4.0
10149314,Lux Furnished 1BR Boston Apt.,30283594,Kara,3/29/2018,US,within a few hours,0.98,0.55,No,749,Yes,Yes,Boston,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,169.0,0.0,100.0,1,0,1,1,3/25/2019,3/25/2019,No,strict,0.18,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,7.75,7.75,10.0,10.0,9.999999999999998,7.75,7.75,2,1.0,3.0
8014383,Boston South End Niche (M327) Short noti,32532791,Marie,5/2/2018,"Boston, Massachusetts, United States",within an hour,1.0,0.91,No,37,Yes,No,Boston,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,215.0,0.0,25.0,1,0,3,6,9/13/2018,8/8/2019,No,strict,0.5,Boston,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,7.75,7.75,7.75,10.0,8.5,10.0,7.75,1,1.0,2.0
